,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,276,0,4,0,0,0,0,56,0,0,363,0,1,0,2,0,69,0,0,0,0,0,0,0,0,0,0,9,14,2,0,4,0,36,0,0,0,4,8,0,0,0,0,0,17,11,0,5,5,0,14
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,1,467,0,0,0,4,247,0,0,1,0,1,1,3,0,6,0,0,0,0,0,0,0,3,0,0,6,0,0,0,7,0,124,0,2,0,3,0,1,0,0,0,0,0,22,0,0,1,0,0
ccleaner,0,0,0,898,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,11,0,775,0,3,0,1,8,0,0,1,0,0,0,0,2,0,3,5,0,0,0,1,0,0,0,0,0,36,6,6,1,3,1,0,33,0,0,0,0,0,0,0,0,0,0,0,4,0
corebot,0,0,0,0,0,890,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0
cryptolocker,0,0,23,0,1,0,333,46,0,45,2,5,1,0,0,1,4,54,1,1,85,0,4,2,3,3,1,4,9,11,0,60,41,54,42,11,1,2,2,1,1,0,0,0,9,36,0,0,1,0,0
dircrypt,90,0,122,0,0,0,3,337,0,0,89,0,2,3,4,0,18,0,1,0,0,0,1,0,1,0,1,10,7,0,0,4,1,147,1,0,0,0,7,0,0,0,0,0,2,31,0,3,3,0,12
dyre,0,0,0,0,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
fobber_v1,0,0,0,0,0,0,1,0,0,856,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,1,1,0,6,4,0,1,11,1,0,0,0,1,0,4,3,0,1,1,1,0,0,0
fobber_v2,262,0,0,0,0,0,0,82,0,0,366,0,0,0,1,1,47,0,0,0,0,0,0,0,0,0,0,14,13,2,0,4,0,39,0,0,0,1,3,2,0,0,0,0,19,14,0,3,8,0,19
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,1,0,0,0,1,783,86,12,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4
gozi_nasa,0,0,0,0,0,0,0,2,0,0,0,0,96,709,54,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,1,4,0,16
gozi_rfc4343,0,0,0,0,0,0,1,4,0,0,0,2,111,272,446,0,0,0,23,0,0,0,0,2,1,0,0,1,0,0,0,0,0,8,0,0,3,0,0,0,0,0,1,2,0,0,0,1,0,0,22
kraken_v1,0,0,3,0,1,0,6,1,0,0,0,0,0,0,1,536,334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
kraken_v2,62,0,11,0,0,0,5,36,0,0,55,0,0,0,0,91,522,3,0,0,0,0,4,0,2,0,2,2,8,0,0,9,12,17,3,0,0,0,4,1,0,0,0,0,3,25,0,2,4,0,17
locky,0,0,0,0,0,0,72,0,0,0,0,7,0,0,0,2,1,324,0,7,40,0,43,8,2,1,70,7,21,17,2,42,12,0,73,73,2,1,5,0,0,0,0,0,17,51,0,0,0,0,0
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,4,20,5,0,0,0,853,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,888,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,5,0,0,872,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,4,0,3,0,2,0,28,7,0,13,4,2,1,0,0,0,14,73,0,11,12,0,238,9,2,1,69,5,10,5,0,17,9,5,110,132,0,2,9,0,0,1,0,0,16,80,3,0,0,0,3
nymaim,0,0,0,0,0,0,0,0,0,0,0,13,3,6,4,0,0,1,19,0,0,0,0,767,0,13,2,2,0,0,0,0,0,1,2,0,7,0,4,0,11,6,8,0,2,0,8,1,4,0,16
padcrypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,874,0,0,2,0,0,0,0,8,3,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,208,23,10,0,0,0,0,0,0,0,0
proslikefan,22,0,0,0,0,0,8,8,0,0,29,0,0,0,1,1,16,39,0,3,15,0,45,3,0,0,379,2,122,52,0,10,1,0,13,0,0,0,48,0,0,12,1,0,34,18,0,0,2,0,16
pushdo,0,0,3,0,0,0,0,1,0,0,0,0,4,6,0,0,7,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,1,26,0,5
pykspa,12,0,1,0,0,0,52,8,0,2,16,0,1,0,0,3,12,9,0,0,0,0,0,1,0,4,43,8,291,180,1,31,16,9,2,0,0,9,55,0,1,17,0,0,64,29,0,3,2,0,18
pykspa_noise,15,0,3,0,0,0,43,3,0,1,20,0,0,0,0,0,13,10,0,0,0,0,0,0,0,1,26,3,332,151,0,28,15,13,1,0,0,8,45,1,1,31,1,0,83,24,0,2,4,0,22
qadars,0,0,5,2,19,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,6,722,2,7,1,0,0,0,94,0,0,0,0,0,0,1,7,22,0,0,0,1
qakbot,8,0,16,0,1,0,65,56,0,70,7,0,1,0,0,0,3,14,0,8,71,0,0,1,3,0,27,5,52,27,3,330,34,20,6,3,1,1,5,0,2,2,0,0,38,18,0,0,2,0,0
ramdo,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,100,0,90,0,0,0,8,229,0,0,139,0,0,1,2,0,24,0,3,0,0,0,0,0,1,0,0,5,7,2,0,3,1,207,0,2,0,0,4,1,0,0,0,0,4,39,0,6,6,0,16
ranbyus_v1,0,0,28,0,0,0,87,24,0,33,0,1,0,0,0,0,3,27,0,0,0,0,3,7,5,0,0,4,0,0,2,14,21,33,553,33,0,0,0,1,1,0,1,1,0,18,0,0,0,0,0
ranbyus_v2,0,0,21,0,2,0,2,43,0,106,0,1,1,0,1,1,1,18,0,0,0,0,46,5,8,0,0,0,0,0,1,2,8,43,26,557,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0
rovnix,0,0,0,0,1,0,0,0,0,0,0,74,16,46,9,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,3,0,11,0,0,0,0,0,0,0,1
