,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,641,0,0,0,0,0,1,1,0,0,148,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,6,2,2,0,0,6,0,0,0,23,0,0,0,0,0,0,20,20,0,6,11,0,4
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,19,0,650,0,1,0,47,49,0,0,4,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,12,0,0,15,7,3,0,51,0,0,0,0,0,0,6,26,0,1,0,0,0
ccleaner,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,7,1,755,0,7,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,89,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0
corebot,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0
cryptolocker,8,0,66,0,4,0,519,2,0,33,0,1,1,0,0,2,1,35,0,1,77,0,0,2,2,4,1,1,6,7,7,3,16,13,11,8,0,16,0,1,1,0,0,0,11,39,1,0,0,0,0
dircrypt,183,0,319,0,6,0,45,155,0,0,53,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,2,3,2,0,0,0,3,26,7,5,0,12,0,0,0,0,0,0,19,36,0,4,3,0,10
dyre,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fobber_v1,0,0,0,0,9,0,1,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0
fobber_v2,661,0,2,0,0,0,0,1,0,0,124,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,3,5,2,0,0,14,0,0,0,26,0,0,0,0,0,0,24,15,0,2,6,0,6
gozi_gpl,0,0,0,0,1,0,6,0,0,0,0,827,0,0,0,0,0,1,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,1,0,3,0,0,0,0,1,0,0,0,0,707,92,29,0,0,0,13,0,0,0,0,2,1,0,0,6,0,0,0,0,1,1,0,0,19,0,0,0,0,0,1,0,0,1,0,6,7,0,9
gozi_nasa,1,0,3,0,0,0,2,4,0,0,0,0,35,650,73,0,0,0,26,0,0,0,0,0,1,1,0,4,0,0,0,0,5,2,1,0,73,0,0,0,0,0,0,0,0,1,2,3,1,0,12
gozi_rfc4343,1,0,7,0,0,0,2,4,0,0,0,0,52,200,480,0,0,0,25,0,0,0,0,3,0,1,0,1,0,0,1,1,1,3,0,2,103,1,0,0,0,0,0,1,1,1,0,0,1,0,8
kraken_v1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,683,189,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
kraken_v2,129,0,10,0,0,0,26,7,0,0,31,0,0,0,1,220,383,2,0,0,0,0,2,0,0,0,9,0,2,0,1,0,12,6,9,0,0,11,1,0,0,0,0,0,3,21,0,2,6,0,6
locky,0,0,0,0,6,0,138,0,0,1,0,0,0,0,0,2,2,265,0,5,45,0,6,2,1,0,123,3,15,35,4,11,8,0,62,76,1,2,5,0,0,0,0,0,20,61,0,1,0,0,0
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,0,1,0,875,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
murofet_v1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,893,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
murofet_v3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,4,0,5,0,10,0,50,5,0,18,2,1,0,0,0,0,13,32,0,12,9,0,113,2,1,0,160,4,4,10,3,11,3,1,129,210,1,1,5,0,0,0,0,0,24,50,3,0,0,1,3
nymaim,2,0,1,0,0,0,0,0,0,0,0,12,0,3,5,0,0,1,24,0,0,0,2,748,0,16,6,0,0,2,0,0,0,0,3,1,13,0,3,0,20,7,12,0,0,1,8,0,4,0,6
padcrypt,0,0,8,0,2,0,6,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,866,0,0,2,0,0,1,0,0,0,2,3,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0
pizd,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,2,0,0,0,0,0,0,0,0,0,0,205,37,15,0,0,0,0,0,0,0,0
proslikefan,48,0,0,0,0,0,9,0,0,0,12,2,0,0,0,1,3,24,0,2,12,0,3,0,0,0,475,0,41,140,0,3,0,0,9,0,0,3,36,0,0,10,0,0,26,14,0,4,1,0,22
pushdo,14,0,1,0,0,0,1,3,0,0,4,0,2,1,0,0,0,6,1,0,0,0,0,2,0,0,1,793,3,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,23,5,0,5,25,0,1
pykspa,49,0,0,0,1,0,77,0,0,0,11,0,0,0,0,3,1,1,0,0,0,0,0,1,0,1,41,1,157,366,5,0,11,2,0,0,0,28,34,0,0,11,0,0,62,9,0,3,6,0,19
pykspa_noise,51,0,2,0,0,0,85,0,0,2,11,0,0,0,0,3,0,4,0,0,0,0,0,1,0,2,36,1,138,381,5,3,11,4,0,0,0,16,15,1,0,20,1,0,73,7,0,1,9,0,17
qadars,1,0,9,6,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,1,788,0,3,0,1,0,0,57,0,0,0,0,1,0,5,2,8,1,0,0,0
qakbot,28,0,39,0,20,0,138,43,0,72,4,0,0,0,0,2,0,10,0,1,66,0,0,0,0,1,27,0,19,61,9,258,32,3,2,2,0,9,0,0,0,1,1,0,33,14,0,0,1,4,0
ramdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,237,0,291,0,1,0,48,82,0,0,69,0,1,2,2,1,3,0,0,0,0,0,0,0,2,0,1,3,5,0,1,0,0,23,17,14,0,12,0,0,0,0,0,0,10,54,0,4,6,0,11
ranbyus_v1,0,0,46,0,4,0,141,0,0,22,0,0,0,0,0,2,1,17,0,0,0,0,1,2,4,3,1,1,1,0,3,1,13,8,581,13,0,9,0,1,0,0,0,0,3,22,0,0,0,0,0
ranbyus_v2,0,0,77,0,8,0,6,27,0,115,0,0,0,0,1,1,0,3,0,0,0,0,4,2,2,0,0,2,0,0,1,0,11,2,52,584,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
rovnix,0,0,0,0,2,0,0,0,0,0,0,38,2,20,15,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,785,0,0,0,3,0,27,0,0,0,0,0,0,0,0
shiotob,26,0,35,4,96,0,18,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,18,144,0,0,3,0,0,0,527,0,0,0,1,0,0,6,3,0,0,0,0,0
simda,21,0,0,0,0,0,3,2,0,0,27,0,0,0,0,0,1,5,0,0,0,0,8,3,0,1,31,5,20,70,0,0,0,1,0,0,0,0,643,0,0,0,0,0,6,1,1,1,9,0,41
sisron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,34,12,0,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,875,1,0,0,0,0,0,0,0,0
suppobox_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,889,1,0,0,0,0,0,0,0
symmi,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,0,0
tempedreve,153,0,0,0,0,0,8,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,14,5,113,215,11,1,0,1,0,0,0,6,6,0,0,3,0,0,319,11,0,2,4,0,4
tinba,71,0,35,0,1,0,139,2,0,3,5,0,0,1,1,1,0,93,0,0,17,0,3,1,0,5,4,1,6,10,4,0,0,23,81,1,0,22,0,0,1,0,0,2,24,342,0,0,0,0,1
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0
vawtrak_v2,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,765,78,0,41
vawtrak_v3,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,814,0,46
zeus-newgoz,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,0
legit,14,0,1,19,0,0,2,3,0,0,6,8,1,11,6,1,9,3,49,5,0,0,4,25,1,9,29,8,5,7,8,0,1,1,0,0,0,14,26,0,2,34,2,2,3,1,2,6,47,0,525
