,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,1025,0,0,0,0,0,0,2,0,0,3540,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,24,1,3,0,0,0,6,0,0,0,0,3,2,0,0,0,0,37,1,0,44,31,0,12
banjori,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,1,9,2534,0,0,0,11,823,0,0,3,0,5,0,2,9,8,0,0,0,0,0,0,0,5,0,0,18,0,0,2,1,0,676,43,189,0,41,0,1,0,0,0,0,2,367,0,0,0,0,0
ccleaner,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,14,7,4590,1,1,2,0,7,0,0,0,0,0,0,1,2,0,0,6,0,3,1,0,0,0,0,0,0,2,5,0,1,4,6,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,4718,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
cryptolocker,0,2,28,0,0,0,2154,27,0,3,1,19,1,0,0,16,1,187,0,0,316,0,0,1,6,9,0,21,67,141,0,16,11,274,508,22,0,0,1,1,0,0,0,0,190,724,0,1,1,0,1
dircrypt,180,16,284,0,0,0,9,1409,0,0,737,0,4,0,1,7,67,0,0,0,0,0,0,0,1,0,123,31,10,6,0,1,0,973,41,195,0,0,9,1,0,0,0,0,134,450,1,25,12,0,23
dyre,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,3,0,0,4287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0
fobber_v2,1003,0,0,0,0,0,0,1,0,0,3562,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,2,21,2,3,0,0,0,10,0,0,0,0,6,0,0,0,0,0,27,1,1,48,29,0,11
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,4691,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3
gozi_luther,0,62,1,0,0,0,0,2,0,0,0,0,4341,30,202,0,0,0,0,0,0,0,0,3,0,0,0,67,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,6,10,0,21
gozi_nasa,0,128,0,0,0,0,0,1,0,0,0,0,202,3717,543,0,0,0,29,0,0,0,0,3,0,0,0,19,0,0,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,1,1,5,6,0,64
gozi_rfc4343,0,76,2,0,0,0,0,3,0,0,0,1,192,468,3869,0,0,0,18,0,0,0,0,6,5,0,0,10,0,0,0,1,0,1,0,2,18,0,0,0,0,0,0,0,0,4,0,6,8,0,60
kraken_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4231,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
kraken_v2,106,0,0,0,0,0,1,37,0,0,400,0,0,0,0,1863,1717,6,0,0,0,0,20,0,0,0,159,6,18,18,0,0,0,76,1,0,0,0,23,0,0,0,0,0,110,130,1,15,13,0,30
locky,0,0,0,0,0,0,352,0,0,0,0,10,0,0,0,12,6,2612,0,0,139,0,37,7,0,0,188,3,113,79,0,38,13,0,353,186,0,0,38,0,0,0,0,0,239,312,0,0,0,0,13
matsnu,0,7,0,0,0,0,0,0,0,0,0,0,3,41,46,0,0,0,4559,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82
murofet_v1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,9,0,4721,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,17,0,0,4530,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,1,0,1,0,0,0,57,19,0,29,12,5,0,0,2,1,66,313,0,28,26,0,2574,10,4,2,266,14,20,7,0,65,2,27,499,344,0,0,27,0,0,2,3,0,59,236,0,0,0,0,29
nymaim,0,3,0,0,0,0,1,0,0,0,1,68,3,16,35,0,0,9,121,0,0,0,8,4176,0,57,3,5,2,1,0,0,0,0,0,0,9,0,10,0,39,21,8,0,3,0,15,0,1,0,135
