,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,1912,0,0,0,0,0,0,27,0,0,2612,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,6,1,12,0,0,0,83,0,0,0,0,0,0,0,0,0,0,29,0,0,2,22,0,18
banjori,0,1513,0,0,0,0,0,150,0,0,0,0,1083,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,813,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1036
bedep,0,0,2976,0,0,0,10,699,0,0,1,0,4,3,0,0,6,0,0,0,0,0,0,0,2,0,0,13,0,0,2,7,0,863,2,29,0,65,0,0,0,0,0,0,0,68,0,0,0,0,0
ccleaner,0,0,0,4685,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1,0,0,3
chinad,0,0,14,2,4606,1,1,0,0,10,0,0,0,0,0,0,0,2,0,0,6,0,11,0,0,0,0,0,0,0,1,15,0,1,1,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,1,4704,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,16,0
cryptolocker,0,0,27,0,0,0,2126,50,0,32,0,4,0,0,0,1,9,203,0,0,285,0,365,2,2,1,0,13,6,20,0,153,0,540,335,3,0,2,0,0,0,0,0,1,16,551,0,0,0,0,3
dircrypt,341,0,860,0,0,0,8,1422,0,0,410,0,5,1,0,0,66,0,0,0,0,0,0,0,1,0,24,5,32,25,0,23,0,1283,6,41,0,9,0,0,0,0,0,0,63,64,0,2,11,0,48
dyre,0,0,0,0,0,0,0,0,4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
fobber_v1,0,0,0,0,0,0,0,0,0,4665,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37,0,0,0,36,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0
fobber_v2,1894,0,0,0,0,0,0,21,0,0,2644,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,77,0,0,0,0,0,0,0,0,0,0,23,0,0,6,23,0,22
gozi_gpl,0,0,0,0,0,0,32,0,0,0,0,4112,0,0,0,0,2,14,0,6,0,0,6,66,1,0,0,1,0,0,0,1,0,0,5,2,479,0,0,0,0,0,0,0,0,16,0,0,0,0,7
gozi_luther,0,0,6,0,0,0,0,25,0,0,0,0,3547,302,586,0,9,0,0,0,0,0,0,8,2,0,0,74,0,2,0,8,0,48,0,1,15,0,0,0,0,0,0,0,0,1,0,7,9,0,100
gozi_nasa,0,0,3,0,0,0,0,27,0,0,0,0,321,3392,630,0,4,0,52,0,0,0,0,8,1,0,0,21,0,3,0,6,0,25,0,1,19,0,0,0,0,0,0,0,0,0,0,1,5,0,231
gozi_rfc4343,0,0,7,0,0,0,0,49,0,0,0,0,421,1029,2843,0,2,0,19,0,0,0,0,4,3,0,0,22,0,1,0,9,0,25,0,10,34,0,0,0,0,0,0,0,0,2,0,1,2,0,267
kraken_v1,0,0,0,0,0,0,236,4,0,0,0,0,7,5,2,1440,849,16,0,0,0,0,4,0,0,0,24,19,557,42,47,896,0,486,8,0,0,0,0,0,0,0,0,0,84,16,0,0,4,0,4
kraken_v2,196,0,3,0,0,0,196,146,0,0,223,0,1,0,0,1,917,38,0,0,0,0,125,0,0,0,109,34,1156,71,45,398,0,651,22,0,0,3,0,0,0,0,0,0,136,186,0,5,11,0,77
locky,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,7,1530,0,0,120,0,928,3,1,0,582,5,87,61,1,155,2,0,147,120,0,0,2,0,0,0,0,0,138,375,0,0,0,0,11
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,2,35,99,0,0,0,4370,0,0,0,0,23,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,212
murofet_v1,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,9,0,4598,0,0,118,0,1,0,0,0,0,0,0,12,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,108,0,0,4300,0,48,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,5,0,4,0,0,0,192,34,0,36,8,0,0,1,0,0,5,472,0,15,23,0,1821,1,4,0,631,6,96,36,0,132,0,44,246,480,1,1,3,0,0,0,0,0,69,364,0,0,0,0,20
nymaim,3,0,0,0,0,0,3,0,0,0,1,35,3,15,35,0,0,36,111,0,0,0,13,4006,0,53,33,6,2,9,0,0,0,1,4,1,67,0,1,0,28,11,3,1,5,19,2,0,3,0,240
padcrypt,0,0,3,0,0,0,14,35,0,0,0,0,11,1,4,0,0,5,0,0,0,0,38,1,4505,0,0,12,0,0,0,27,0,92,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,3826,0,0,1,0,0,1,0,0,0,0,19,0,0,0,641,168,5,4,0,4,0,0,0,0,3
proslikefan,69,0,0,0,0,0,2,50,0,0,76,0,0,0,0,0,27,114,0,0,0,0,82,2,0,0,3023,1,564,215,8,24,0,34,4,0,0,1,30,0,0,5,0,0,251,53,0,2,2,0,111
pushdo,14,0,2,0,0,0,0,15,0,0,78,0,15,4,8,0,8,52,0,0,0,0,108,11,0,0,3,3687,7,113,0,33,0,377,1,0,0,1,0,0,0,0,0,0,11,26,0,13,94,0,69
pykspa,42,0,0,0,0,0,102,21,0,0,75,0,0,0,0,0,37,60,0,0,0,0,5,4,1,2,542,7,1463,789,18,153,0,120,0,0,0,0,24,0,0,9,0,0,942,207,0,1,11,0,115
pykspa_noise,46,0,0,0,0,0,119,23,0,0,76,0,0,0,0,0,27,41,0,0,0,0,3,1,0,2,547,11,1501,802,11,146,0,165,0,0,0,2,28,0,1,10,0,0,824,204,0,0,12,0,148
qadars,0,0,20,2,1,0,16,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,20,1,0,0,0,1,3,8,4042,24,0,16,0,0,0,553,0,2,0,0,0,0,15,17,2,0,1,0,0
qakbot,49,0,103,0,0,0,329,236,0,183,59,0,0,0,0,0,6,67,0,0,172,0,120,0,3,0,203,0,201,106,5,2227,5,138,59,7,0,2,0,0,0,0,0,0,317,143,0,0,1,0,9
ramdo,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,15,0,0,0,0,0,0,1,0,910,3706,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,255,0,253,0,0,0,10,1081,0,0,492,0,10,3,1,0,65,0,0,0,0,0,0,0,2,0,28,19,28,41,0,10,0,2081,14,95,0,0,0,0,0,0,0,0,65,127,0,1,12,0,57
ranbyus_v1,0,0,7,0,0,0,599,23,0,0,0,0,2,0,1,0,0,31,0,0,0,0,416,2,1,1,0,4,0,0,0,18,0,430,3196,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2
ranbyus_v2,0,0,102,0,0,0,1,184,0,581,0,2,3,1,0,0,0,40,0,0,0,0,210,4,7,0,0,1,0,0,0,9,0,196,2,3405,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
rovnix,0,0,0,0,6,1,0,0,0,2,0,117,49,137,125,0,0,0,2,0,0,0,0,35,0,4,0,0,0,0,0,7,0,0,0,0,4240,0,0,0,1,0,14,0,0,0,0,0,0,0,10
shiotob,24,0,129,2,161,0,27,28,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,36,18,539,15,0,73,13,0,0,3539,0,0,0,0,0,0,66,29,0,0,1,0,6
simda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,787,0,0,0,0,17,11,0,0,298,0,287,1326,0,0,0,2,0,0,0,0,1688,0,0,0,0,0,2,0,0,0,0,0,314
sisron,9,0,0,0,0,0,103,58,0,0,1,0,1,0,0,0,42,1,0,0,0,0,4,26,0,0,0,78,0,691,71,135,0,4,11,0,0,54,0,3358,0,0,0,0,18,43,0,0,0,0,42
suppobox_1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,3019,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1546,78,4,0,7,7,0,0,0,0,3
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,608,15,0,30,57,0,0,0,0,0,0,0,0,0,0,352,3284,6,0,39,1,0,0,0,0,342
suppobox_3,0,0,0,0,0,0,0,0,0,57,0,0,3,0,0,0,0,0,0,0,0,0,5,43,0,4,0,0,0,0,0,9,0,0,0,2,28,0,0,0,10,1,4588,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0
tempedreve,183,0,0,0,0,0,3,68,0,0,266,0,0,0,0,0,35,50,0,0,0,0,0,4,0,1,447,8,831,352,13,70,0,354,0,0,0,0,15,0,0,4,0,0,1756,179,0,3,11,0,97
tinba,0,0,0,0,0,0,234,4,0,0,0,0,0,0,0,0,8,81,0,0,0,0,207,8,0,1,0,13,14,12,0,80,0,1083,2,0,0,0,0,0,0,0,0,0,54,2946,0,0,1,0,2
vawtrak_v1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,1860,26,0,0,307,1,58,10,31,31,0,0,0,0,0,4,2,0,0,0,0,0,31,248,2065,0,0,0,27
vawtrak_v2,135,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,88,2,45,0,0,0,217,0,0,0,0,0,0,0,0,0,0,1,0,0,1037,2443,0,692
vawtrak_v3,8,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,23,0,12,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,477,3613,0,513
zeus-newgoz,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4744,0
legit,13,0,2,0,4,0,1,15,0,1,15,4,8,44,28,0,4,19,77,0,0,0,11,220,0,29,214,26,52,73,28,4,0,28,1,0,1,25,16,0,11,41,2,0,15,11,1,10,98,1,3597
