,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,3098,0,0,0,0,0,0,12,0,0,1513,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,14,0,1,0,0,0,63,0,0,0,0,2,0,0,0,0,0,0,0,0,6,9,0,2
banjori,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,2991,0,0,0,7,678,0,0,0,0,6,1,2,2,7,0,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,785,9,49,0,94,0,0,0,0,0,0,0,110,0,0,0,0,0
ccleaner,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,13,1,4610,1,3,2,0,11,0,0,0,0,0,0,0,4,0,0,7,0,6,0,0,0,0,0,0,0,0,10,1,1,1,7,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1
corebot,0,0,0,0,0,4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
cryptolocker,0,0,54,0,0,0,2399,203,0,7,0,4,1,0,0,4,9,382,0,0,311,0,8,1,4,2,0,8,87,70,0,26,4,300,387,18,0,1,1,0,0,0,0,0,65,392,0,0,1,0,1
dircrypt,397,0,819,0,0,0,8,1216,0,0,220,0,3,0,0,2,54,0,0,0,0,0,5,0,3,0,22,10,2,11,0,110,0,1625,18,50,0,1,3,1,0,0,0,0,36,110,0,7,7,0,10
dyre,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,4405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,334,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
fobber_v2,3121,0,0,0,0,0,0,23,0,0,1483,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,9,9,0,6
gozi_gpl,0,0,0,0,0,0,10,0,0,0,0,4624,0,0,0,0,0,6,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,1,0,0,0,0,8
gozi_luther,0,0,8,0,0,0,0,14,0,0,0,0,4492,112,71,0,0,0,2,0,0,0,0,1,0,0,0,29,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,5
gozi_nasa,0,0,3,0,0,0,1,6,0,0,0,0,124,4196,298,0,0,0,44,0,0,0,0,1,0,0,0,14,0,0,0,0,0,10,0,3,20,0,0,1,0,0,0,0,0,0,0,1,1,0,27
gozi_rfc4343,0,0,5,0,0,0,0,14,0,0,0,0,236,708,3628,0,0,0,56,0,0,0,0,0,3,0,0,8,0,0,0,3,0,22,0,2,31,0,0,0,0,0,0,0,0,4,0,1,1,0,28
kraken_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3947,801,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kraken_v2,209,0,11,0,0,0,2,184,0,0,144,0,0,0,0,1465,2133,0,0,0,0,0,1,0,0,0,98,3,4,18,0,0,0,335,0,0,0,0,7,0,0,0,0,0,43,55,0,5,10,0,23
locky,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,1,9,2660,0,0,127,0,180,5,0,0,333,2,88,105,0,75,3,0,241,167,0,0,8,0,0,0,0,0,143,243,0,0,0,0,10
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,18,28,13,0,0,0,4641,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45
murofet_v1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,4729,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,6,0,0,4551,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,6,0,5,0,0,0,76,19,0,25,3,1,1,0,0,0,71,179,0,24,22,0,3232,4,1,1,250,3,14,22,0,103,0,52,240,186,0,0,13,0,0,0,0,0,32,148,0,0,0,0,17
nymaim,2,0,0,0,0,0,3,0,0,0,0,30,10,16,32,0,0,5,152,0,0,0,14,4178,0,54,3,11,2,3,0,0,0,2,3,1,17,0,6,0,49,16,12,0,6,0,6,0,2,0,115
padcrypt,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,0,4734,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,4,0,0,0,440,41,20,1,3,0,0,0,0,0,0
proslikefan,63,0,0,0,0,0,3,24,0,0,47,0,0,0,0,0,16,206,0,0,0,0,44,1,0,1,2939,0,438,409,0,37,0,138,13,0,0,0,72,0,0,6,0,0,200,23,0,1,5,0,64
