,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
proslikefan,286,0,0,0,0,0,21,139,0,0,363,0,0,0,0,12,139,1033,0,0,2,0,645,6,0,3,13609,11,2393,1740,8,237,1,380,59,0,0,1,635,1,1,48,0,0,1359,144,1,22,22,0,429
pushdo,50,1,2,0,0,0,0,31,0,0,128,0,86,10,13,0,9,52,0,0,0,0,108,15,1,0,3,22206,8,117,0,33,0,402,1,0,0,1,0,1,0,0,0,0,19,36,2,103,204,0,108
pykspa,237,0,0,0,0,0,403,102,0,0,345,0,3,0,0,29,134,156,0,0,0,0,9,7,1,20,1616,86,8167,6190,18,395,33,403,2,0,0,2,632,6,2,65,0,2,3586,658,4,49,63,0,325
pykspa_noise,263,0,0,0,0,0,415,109,0,0,347,0,0,0,0,33,107,142,0,0,0,0,4,4,0,15,1657,112,8122,6352,11,350,34,462,0,0,0,5,633,8,3,76,0,1,3358,615,0,55,83,0,374
qadars,0,0,86,25,1,0,27,9,0,0,0,0,0,0,0,6,3,6,0,0,0,0,20,1,0,0,0,13,66,35,21464,43,9,30,0,0,0,1649,0,15,1,0,1,0,94,67,73,1,2,0,3
qakbot,232,7,460,0,0,0,1378,990,0,822,286,0,1,1,2,51,64,844,0,0,1018,0,276,5,15,2,770,8,1027,803,5,11038,83,748,460,165,0,2,23,0,0,8,7,0,1502,610,0,5,6,0,26
ramdo,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,15,0,0,0,0,0,0,1,0,910,22705,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,1599,36,1103,0,0,0,223,3267,0,0,2318,0,52,11,30,19,275,0,0,0,0,0,14,0,24,0,175,138,59,111,0,15,1,9948,199,1252,0,0,56,7,0,0,0,0,416,2121,0,89,55,0,137
ranbyus_v1,0,2,350,0,0,0,1751,284,0,0,0,8,12,1,1,17,8,77,0,0,0,0,457,16,10,7,0,15,2,3,0,22,40,1353,19155,1,0,0,1,5,2,0,1,0,1,144,2,0,0,0,2
ranbyus_v2,0,13,141,0,0,0,3,424,0,2580,0,12,8,7,11,7,0,90,0,0,0,0,334,20,39,1,0,1,0,0,0,9,3,1425,33,18570,0,0,0,0,0,0,17,1,0,0,0,0,0,0,1
rovnix,0,4,0,0,12,2,0,0,0,2,0,731,94,422,573,0,0,0,9,0,0,0,0,88,0,6,0,0,0,0,0,10,0,0,0,0,21672,0,0,0,21,0,84,0,0,0,0,0,0,8,12
shiotob,133,0,639,3,683,0,99,114,0,25,202,0,0,0,2,1,10,0,0,0,0,0,1,0,3,6,3,12,242,187,1224,47,0,211,91,6,0,19362,0,4,0,6,1,0,236,167,0,2,6,0,22
simda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,790,0,0,0,0,19,13,0,0,325,1,313,1363,0,0,0,2,0,0,0,0,20498,0,0,0,0,0,7,0,3,9,3,0,385
sisron,9,0,0,0,0,0,103,58,0,0,1,0,1,0,0,0,42,1,0,0,0,0,4,26,0,0,0,78,0,691,71,135,0,4,11,0,0,54,0,22358,0,0,0,0,18,43,0,0,0,0,42
suppobox_1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,4286,0,0,0,1,0,0,0,0,1,0,4,0,0,0,19119,222,18,0,7,7,0,0,0,0,3
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,874,32,0,35,63,0,0,0,0,0,0,0,0,0,0,423,21793,13,0,39,1,0,0,0,0,461
suppobox_3,0,0,0,0,0,0,0,0,0,57,0,0,3,0,0,0,0,0,0,0,0,0,5,49,2,6,0,0,0,0,0,9,0,0,0,3,31,0,0,0,11,1,23573,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23748,0,0,0,0,0,0,0
tempedreve,995,0,0,0,0,0,4,247,0,0,1457,0,1,1,0,40,92,140,0,0,0,0,1,15,0,13,1392,88,4079,3301,13,172,0,901,0,0,0,0,266,7,4,29,0,0,9516,552,4,46,40,0,334
tinba,3,3,19,0,0,0,1261,240,0,0,8,12,1,1,2,43,85,597,0,0,10,0,406,21,9,9,9,72,141,222,0,112,0,1691,132,0,0,2,1,3,4,1,1,2,658,17930,11,15,9,0,4
vawtrak_v1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0,1860,27,0,0,307,1,58,10,31,31,0,0,0,0,0,4,2,0,0,0,0,0,31,248,21059,0,0,0,31
vawtrak_v2,135,0,0,0,0,0,0,39,0,0,1,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,89,2,45,0,0,0,217,0,0,0,0,0,0,0,0,0,0,1,0,0,19866,2498,0,806
vawtrak_v3,8,0,0,0,0,0,0,4,0,0,1,0,3,1,2,0,41,0,0,0,0,0,0,1,0,0,0,39,0,12,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,596,22330,0,656
zeus-newgoz,0,0,5,0,7,5,0,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23707,0
legit,87,15,12,0,10,0,9,32,0,3,66,50,142,301,302,2,80,86,500,0,0,0,85,1177,7,89,567,174,193,197,73,13,1,90,10,2,29,74,240,0,64,301,18,0,107,35,10,234,414,1,17848
