,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,2133,0,0,0,0,0,0,2,0,0,2510,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,14,2,3,0,0,0,11,0,0,0,0,3,1,0,0,0,0,19,0,0,14,7,0,14
banjori,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,1,2991,0,0,0,48,546,0,0,1,0,8,1,3,2,18,0,0,0,0,0,1,0,2,0,0,6,0,0,5,2,0,592,23,165,0,55,0,2,0,0,0,0,1,276,0,0,0,0,1
ccleaner,0,0,0,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,17,3,4655,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,7,0,9,0,0,0,0,0,0,0,0,6,0,1,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
cryptolocker,0,0,109,0,0,0,2343,59,0,30,0,11,1,0,0,6,11,300,0,0,267,0,20,3,4,5,0,9,38,46,0,55,3,214,480,66,0,0,6,1,2,0,0,0,40,620,0,0,0,0,1
dircrypt,415,0,775,0,0,0,50,1211,0,0,450,0,4,0,4,0,39,0,0,0,0,0,2,0,3,0,39,14,3,22,0,27,0,966,25,236,0,0,6,0,0,0,0,0,84,324,0,11,6,0,34
dyre,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,4285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,1,0,19,1,0,0,0,0,0,0,0
fobber_v2,2138,0,0,0,0,0,0,2,0,0,2487,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,1,17,3,8,0,0,0,12,0,0,0,0,2,0,0,0,0,0,20,0,1,20,12,0,10
gozi_gpl,0,0,0,0,0,0,7,0,0,0,0,4679,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,2,0,0,0,0,2
gozi_luther,0,18,0,0,0,0,0,1,0,0,1,0,4400,86,195,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,15
gozi_nasa,0,4,1,0,0,0,0,1,0,0,0,0,95,4056,450,0,0,0,32,0,0,0,1,3,0,0,0,10,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,3,0,0,2,0,57
gozi_rfc4343,0,5,1,0,0,0,1,6,0,0,0,0,129,527,3976,0,1,0,14,0,0,0,0,1,4,0,0,5,0,1,0,1,0,6,0,2,16,0,0,1,0,0,0,0,0,4,0,0,3,0,46
kraken_v1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3850,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kraken_v2,255,0,3,0,0,0,19,106,0,0,245,0,0,0,0,1348,2223,0,0,0,0,0,0,0,0,0,102,4,7,39,0,2,1,149,13,0,0,0,9,1,0,0,0,0,62,114,0,8,6,0,34
locky,0,0,0,0,0,0,388,0,0,0,0,2,0,0,0,4,9,2670,0,0,120,0,128,2,0,0,281,1,64,78,0,104,5,0,251,200,0,0,51,0,0,0,0,0,108,278,0,0,0,0,6
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,6,31,53,0,0,0,4528,0,0,0,0,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,53
