,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,1686,0,0,0,0,0,0,4,0,0,2882,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,29,10,9,0,0,0,35,0,0,0,0,5,1,0,0,0,0,28,0,0,28,10,0,16
banjori,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,4,3245,0,0,0,53,325,0,0,0,0,7,0,2,10,4,0,1,0,0,0,0,0,4,0,0,13,1,1,11,1,0,669,18,132,0,44,0,2,0,0,0,0,4,196,0,1,0,0,2
ccleaner,0,0,0,4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,14,1,4580,0,0,2,0,8,0,0,1,0,0,0,0,3,0,0,6,0,5,0,0,0,0,0,0,0,0,10,1,0,1,8,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,4718,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
cryptolocker,0,1,96,0,0,0,1980,42,0,18,0,12,2,1,1,23,9,147,0,0,385,0,7,2,7,6,0,14,27,59,0,21,17,283,853,19,0,0,1,2,2,0,0,0,32,680,0,0,1,0,0
dircrypt,272,10,1106,0,0,0,58,787,0,0,384,0,10,3,10,9,19,0,0,0,0,0,2,0,2,0,13,34,8,19,0,51,0,1382,13,129,0,0,7,4,0,0,0,0,88,279,0,22,8,0,21
dyre,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,1,0,0,4574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0
fobber_v2,1698,0,0,0,0,0,0,7,0,0,2863,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,31,8,10,0,0,0,25,0,0,0,0,9,0,0,0,0,0,22,0,1,34,22,0,14
gozi_gpl,0,0,0,0,0,0,2,0,0,0,0,4572,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,4,0,0,0,0,2
gozi_luther,0,8,1,0,0,0,0,1,0,0,0,0,4384,92,197,0,0,0,2,0,0,0,0,2,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,18
gozi_nasa,0,5,0,0,0,0,0,0,0,0,0,0,128,4096,414,0,0,0,38,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,1,0,0,3,3,0,35
gozi_rfc4343,0,8,6,0,0,0,0,1,0,0,0,0,151,576,3839,1,0,0,60,0,0,0,0,1,5,0,0,10,0,0,0,0,0,2,0,1,30,0,0,0,0,0,0,0,0,1,0,1,3,0,54
kraken_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,770,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kraken_v2,143,0,48,0,0,0,0,107,0,0,208,0,1,0,0,1488,2105,0,0,0,0,0,8,0,0,0,42,10,13,29,0,2,0,285,0,0,0,0,15,3,0,0,0,0,77,117,0,15,6,0,28
locky,0,0,0,0,0,0,293,0,0,0,0,2,0,0,0,22,6,2554,0,0,149,0,147,7,2,0,256,10,86,132,0,75,9,0,336,196,0,0,24,1,0,0,0,0,104,329,1,0,0,0,9
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,1,37,14,0,0,0,4644,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
murofet_v1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,3,0,4658,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,6,0,0,4592,0,0,3,0,0,0,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,2,0,4,0,0,0,55,14,0,28,5,0,4,1,0,5,72,163,0,13,29,0,2662,3,2,1,237,7,23,16,0,71,2,46,591,381,0,0,18,1,0,1,0,0,35,239,1,0,0,0,18
nymaim,0,0,0,0,0,0,0,0,0,0,0,33,2,21,23,0,0,3,139,0,0,0,8,4146,0,15,2,9,2,0,0,0,0,0,3,0,25,0,7,0,82,13,11,0,1,0,15,0,3,0,187
padcrypt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4746,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,132,6,0,0,0,0,0,0,0,11
proslikefan,39,0,0,0,0,0,10,43,0,0,66,0,0,0,0,9,34,120,0,0,1,0,201,2,0,1,2535,5,494,416,0,96,0,121,24,0,0,0,168,1,0,10,0,0,236,32,1,10,5,0,70
pushdo,6,1,0,0,0,0,0,0,0,0,0,0,11,2,3,0,0,0,0,0,0,0,0,1,0,0,0,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,28,0,4
pykspa,36,0,0,0,0,0,112,28,0,0,42,0,0,0,0,14,18,3,0,0,0,0,3,2,0,6,169,21,1793,1438,0,76,8,69,1,0,0,1,124,3,0,17,0,1,505,180,1,18,13,0,48
pykspa_noise,46,0,0,0,0,0,117,28,0,0,39,0,0,0,0,14,12,2,0,0,0,0,1,1,0,4,190,33,1752,1455,0,59,11,71,0,0,0,0,133,4,0,16,0,1,506,164,0,21,17,0,53
qadars,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,19,7,4447,4,2,3,0,0,0,194,0,1,0,0,0,0,16,13,16,0,1,0,1
