,precision,recall,f1-score,support
alureon,0.2645582329317269,0.5547368421052632,0.3582596872875595,950.0
banjori,1.0,1.0,1.0,950.0
bedep,0.6571428571428571,0.5568421052631579,0.6028490028490029,950.0
ccleaner,0.9978991596638656,1.0,0.9989484752891693,950.0
chinad,0.943577430972389,0.8273684210526315,0.8816601233875491,950.0
corebot,1.0,0.9947368421052631,0.9973614775725593,950.0
cryptolocker,0.4774774774774775,0.16736842105263158,0.24785658612626654,950.0
dircrypt,0.26369327073552423,0.3547368421052632,0.30251346499102333,950.0
dyre,0.9989451476793249,0.9968421052631579,0.9978925184404637,950.0
fobber_v1,0.7782724844167409,0.92,0.8432223830197781,950.0
fobber_v2,0.27374872318692545,0.28210526315789475,0.27786417833074134,950.0
gozi_gpl,0.9258130081300813,0.9589473684210527,0.9420889348500517,950.0
gozi_luther,0.9118329466357309,0.8273684210526315,0.8675496688741722,950.0
gozi_nasa,0.7553444180522565,0.6694736842105263,0.7098214285714286,950.0
gozi_rfc4343,0.6435304198800342,0.7905263157894736,0.7094945677846006,950.0
kraken_v1,0.9260628465804066,0.5273684210526316,0.6720321931589538,950.0
kraken_v2,0.4448087431693989,0.4284210526315789,0.4364611260053619,950.0
locky,0.49498997995991983,0.26,0.34092477570738444,950.0
matsnu,0.9301848049281314,0.9536842105263158,0.9417879417879417,950.0
murofet_v1,0.9831045406546991,0.98,0.9815498154981549,950.0
murofet_v2,0.7911714770797963,0.9810526315789474,0.8759398496240601,950.0
murofet_v3,1.0,0.9905263157894737,0.9952406134320465,950.0
necurs,0.4040590405904059,0.2305263157894737,0.29356568364611263,950.0
nymaim,0.8995633187772926,0.8673684210526316,0.8831725616291534,950.0
padcrypt,0.9883351007423118,0.9810526315789474,0.9846804014791337,950.0
pizd,0.6341911764705882,0.7263157894736842,0.677134445534838,950.0
proslikefan,0.43150123051681705,0.5536842105263158,0.48501613646841857,950.0
pushdo,0.7952898550724637,0.9242105263157895,0.8549172346640701,950.0
pykspa,0.27784156142365096,0.25473684210526315,0.26578802855573863,950.0
pykspa_noise,0.25840336134453784,0.12947368421052632,0.17251051893408134,950.0
qadars,0.8774509803921569,0.7536842105263157,0.8108720271800679,950.0
qakbot,0.7950138504155124,0.3021052631578947,0.43783371472158655,950.0
ramdo,0.9508032128514057,0.9968421052631579,0.9732785200411099,950.0
ramnit,0.22063666300768386,0.21157894736842106,0.216012896292316,950.0
ranbyus_v1,0.38074866310160427,0.7494736842105263,0.5049645390070922,950.0
ranbyus_v2,0.5460809646856158,0.6673684210526316,0.6006631927996211,950.0
rovnix,0.922384701912261,0.8631578947368421,0.8917890157694399,950.0
shiotob,0.7105004906771345,0.7621052631578947,0.7353986795327577,950.0
simda,0.7451162790697674,0.8431578947368421,0.791111111111111,950.0
sisron,0.9989395546129375,0.991578947368421,0.9952456418383517,950.0
suppobox_1,0.7093153759820426,0.6652631578947369,0.6865833785985878,950.0
suppobox_2,0.8920041536863966,0.9042105263157895,0.8980658651332984,950.0
suppobox_3,0.9673135852911133,0.9968421052631579,0.9818558838776568,950.0
symmi,0.9926701570680628,0.9978947368421053,0.9952755905511811,950.0
tempedreve,0.3692065985860173,0.49473684210526314,0.42285200179937016,950.0
tinba,0.41423948220064727,0.13473684210526315,0.20333598093725175,950.0
vawtrak_v1,0.9865005192107996,1.0,0.9932043910088866,950.0
vawtrak_v2,0.8734321550741163,0.8063157894736842,0.8385331143951833,950.0
vawtrak_v3,0.7014694508894045,0.9547368421052631,0.8087382969237628,950.0
zeus-newgoz,0.996832101372756,0.9936842105263158,0.9952556668423828,950.0
legit,0.7660098522167488,0.6547368421052632,0.7060158910329172,950.0
accuracy,0.7143859649122807,0.7143859649122807,0.7143859649122807,0.7143859649122807
macro avg,0.724862968755285,0.7143859649122807,0.7075488082920344,48450.0
weighted avg,0.7248629687552851,0.7143859649122807,0.7075488082920341,48450.0
