,precision,recall,f1-score,support
alureon,0.38292073586191233,0.3549473684210526,0.36840380203212064,4750.0
banjori,0.9895833333333334,1.0,0.9947643979057591,4750.0
bedep,0.6153992034894746,0.6831578947368421,0.6475107253317369,4750.0
ccleaner,0.9997894736842106,0.9997894736842106,0.9997894736842106,4750.0
chinad,0.981358474394686,0.9642105263157895,0.9727089306573219,4750.0
corebot,0.9997880906971816,0.9932631578947368,0.9965149434998415,4750.0
cryptolocker,0.541279387643521,0.4168421052631579,0.4709800190294957,4750.0
dircrypt,0.3490022172949002,0.1656842105263158,0.22469664525339045,4750.0
dyre,0.9997895179962113,1.0,0.9998947479212714,4750.0
fobber_v1,0.8519277332836654,0.9629473684210527,0.9040419013736535,4750.0
fobber_v2,0.3968121968121968,0.6027368421052631,0.4785624738821563,4750.0
gozi_gpl,0.9672096467103871,0.9625263157894737,0.9648622981956315,4750.0
gozi_luther,0.9181151832460733,0.9229473684210526,0.9205249343832022,4750.0
gozi_nasa,0.8203484878830363,0.8623157894736843,0.8408087857949297,4750.0
gozi_rfc4343,0.8213521608900299,0.8082105263157895,0.8147283531409168,4750.0
kraken_v1,0.7001937643121366,0.8368421052631579,0.7624436558933537,4750.0
kraken_v2,0.6697422844416163,0.4431578947368421,0.5333840111491194,4750.0
locky,0.7865722205112411,0.5376842105263158,0.638739527322746,4750.0
matsnu,0.9254683140693504,0.9776842105263158,0.9508599508599509,4750.0
murofet_v1,0.9904316393791197,0.9806315789473684,0.9855072463768116,4750.0
murofet_v2,0.8552803129074316,0.9667368421052631,0.9075995651744243,4750.0
murofet_v3,1.0,0.9932631578947368,0.9966201943388255,4750.0
necurs,0.8180700676090965,0.5604210526315789,0.665167416291854,4750.0
nymaim,0.9363143631436315,0.8728421052631579,0.9034648071475266,4750.0
padcrypt,0.986489295364789,0.9991578947368421,0.992783181675557,4750.0
pizd,0.9197063003315964,0.8174736842105264,0.8655818100757914,4750.0
proslikefan,0.660500260552371,0.5336842105263158,0.5903586399627387,4750.0
pushdo,0.9164214243672749,0.9833684210526316,0.9487153447750584,4750.0
pykspa,0.33179126572908957,0.3774736842105263,0.35316131573764037,4750.0
pykspa_noise,0.294773095623987,0.3063157894736842,0.30043361552756553,4750.0
qadars,0.9393747359526827,0.9362105263157895,0.9377899620413327,4750.0
qakbot,0.7973409989220266,0.4671578947368421,0.5891411124386035,4750.0
ramdo,0.9807970266363825,1.0,0.9903054310434692,4750.0
ramnit,0.32964169381107494,0.4261052631578947,0.3717171717171717,4750.0
ranbyus_v1,0.6569823434991975,0.8616842105263158,0.7455373406193079,4750.0
ranbyus_v2,0.7468051118210862,0.7873684210526316,0.7665505226480837,4750.0
rovnix,0.9494047619047619,0.9402105263157895,0.9447852760736195,4750.0
shiotob,0.9163318364452848,0.8162105263157895,0.8633782429573544,4750.0
simda,0.8790035587188612,0.988,0.9303201506591336,4750.0
sisron,0.9931005644992682,1.0,0.9965383405014161,4750.0
suppobox_1,0.8377128053293856,0.9530526315789474,0.8916683080559386,4750.0
suppobox_2,0.9327800829875519,0.9465263157894737,0.9396029258098224,4750.0
suppobox_3,0.9868995633187773,0.9991578947368421,0.9929908986295638,4750.0
symmi,0.993099121706399,0.9997894736842106,0.9964330675618969,4750.0
tempedreve,0.46002554278416347,0.3791578947368421,0.4156953260242354,4750.0
tinba,0.5585129466223058,0.8128421052631579,0.6620938009088569,4750.0
vawtrak_v1,0.9901981230448383,0.999578947368421,0.9948664222105815,4750.0
vawtrak_v2,0.9311637080867851,0.9938947368421053,0.9615071283095723,4750.0
vawtrak_v3,0.9521579804560261,0.9846315789473684,0.9681225419167874,4750.0
zeus-newgoz,0.9997891629770188,0.9983157894736842,0.9990519330032657,4750.0
legit,0.8037744429286039,0.7442105263157894,0.7728465238303455,4750.0
accuracy,0.8023611971104231,0.8023611971104231,0.8023611971104231,0.8023611971104231
macro avg,0.8051240502748243,0.8023611971104231,0.7985206890461756,242250.0
weighted avg,0.8051240502748241,0.8023611971104231,0.7985206890461757,242250.0
