,precision,recall,f1-score,support
alureon,0.3490427098674521,0.44905263157894737,0.39278151183132304,4750.0
banjori,0.993516000836645,1.0,0.9967474556709685,4750.0
bedep,0.6576517150395779,0.6296842105263157,0.6433641643364164,4750.0
ccleaner,0.9985278654048371,0.999578947368421,0.999053129931615,4750.0
chinad,0.9699937486976453,0.98,0.9749712011728977,4750.0
corebot,1.0,0.9938947368421053,0.9969380213282653,4750.0
cryptolocker,0.5339562443026435,0.49326315789473685,0.5128036769533815,4750.0
dircrypt,0.43451740222461427,0.25494736842105264,0.3213480164521693,4750.0
dyre,0.9993688196928255,1.0,0.9996843102178259,4750.0
fobber_v1,0.8633890791859762,0.9021052631578947,0.8823226603521054,4750.0
fobber_v2,0.3694844748180062,0.523578947368421,0.433237522863862,4750.0
gozi_gpl,0.9487023519870236,0.9850526315789474,0.9665358397025409,4750.0
gozi_luther,0.9331919406150583,0.9263157894736842,0.9297411516111991,4750.0
gozi_nasa,0.84009942004971,0.8538947368421053,0.8469409062434746,4750.0
gozi_rfc4343,0.7993566546039405,0.8370526315789474,0.8177704648292884,4750.0
kraken_v1,0.7344524990461656,0.8105263157894737,0.7706164931945555,4750.0
kraken_v2,0.6297450424929179,0.468,0.5369565217391304,4750.0
locky,0.6461761858664086,0.5621052631578948,0.6012159423553254,4750.0
matsnu,0.9607468703585826,0.9532631578947368,0.9569903835992813,4750.0
murofet_v1,0.9919949441752686,0.9913684210526316,0.9916815836579972,4750.0
murofet_v2,0.8775267538644471,0.9322105263157895,0.9040424663127808,4750.0
murofet_v3,1.0,0.9966315789473684,0.9983129481231547,4750.0
necurs,0.8333797715241015,0.6296842105263157,0.7173522005036576,4750.0
nymaim,0.9166847472336732,0.8894736842105263,0.9028742387007159,4750.0
padcrypt,0.9908161135462326,0.9993684210526316,0.9950738916256158,4750.0
pizd,0.8902662060556797,0.9223157894736842,0.9060076517423223,4750.0
proslikefan,0.5514827018121911,0.5637894736842105,0.5575681865500729,4750.0
pushdo,0.9548639736191261,0.9753684210526316,0.9650072901478859,4750.0
pykspa,0.3222318339100346,0.3136842105263158,0.31790057606144656,4750.0
pykspa_noise,0.3230330401711433,0.28610526315789475,0.3034498157865357,4750.0
qadars,0.987968533086534,0.8989473684210526,0.9413580246913581,4750.0
qakbot,0.7861372344130965,0.4751578947368421,0.5923107203779031,4750.0
ramdo,0.988965230064543,1.0,0.994452004605883,4750.0
ramnit,0.36951402269321343,0.36336842105263156,0.3664154548349432,4750.0
ranbyus_v1,0.7515060240963856,0.840421052631579,0.7934804213873982,4750.0
ranbyus_v2,0.6649422314192102,0.8117894736842105,0.7310645558820741,4750.0
rovnix,0.9704378750833519,0.9191578947368421,0.9441020650881177,4750.0
shiotob,0.8960244648318043,0.863578947368421,0.8795025728987993,4750.0
simda,0.8410666666666666,0.996,0.9119999999999999,4750.0
sisron,0.9947643979057592,1.0,0.9973753280839895,4750.0
suppobox_1,0.9160321489001692,0.9117894736842105,0.9139058873179995,4750.0
suppobox_2,0.9714824910882784,0.9753684210526316,0.9734215778968379,4750.0
suppobox_3,0.987936772046589,1.0,0.9939317848922369,4750.0
symmi,0.9935146443514644,0.9997894736842106,0.9966421825813222,4750.0
tempedreve,0.44506024096385544,0.3888421052631579,0.41505617977528086,4750.0
tinba,0.5704182967198315,0.7981052631578948,0.6653211653211654,4750.0
vawtrak_v1,0.993306839573311,0.9997894736842106,0.9965376141013534,4750.0
vawtrak_v2,0.9671962038374252,0.9869473684210527,0.976971970407419,4750.0
vawtrak_v3,0.9615702479338843,0.9797894736842105,0.9705943691345151,4750.0
zeus-newgoz,0.9997891629770188,0.9983157894736842,0.9990519330032657,4750.0
legit,0.8023872679045093,0.7642105263157895,0.7828337287039034,4750.0
accuracy,0.8057585139318886,0.8057585139318886,0.8057585139318886,0.8057585139318886
macro avg,0.80733764916782,0.8057585139318886,0.8034435247957564,242250.0
weighted avg,0.80733764916782,0.8057585139318886,0.8034435247957564,242250.0
