,precision,recall,f1-score,support
alureon,0.36783378222393226,0.4025263157894737,0.38439887414555685,4750.0
banjori,1.0,0.31852631578947366,0.4831550375219543,4750.0
bedep,0.6581158779301194,0.6265263157894737,0.6419327006039689,4750.0
ccleaner,0.9987209550202516,0.9863157894736843,0.9924796102107828,4750.0
chinad,0.9625914315569488,0.9696842105263158,0.9661248033560567,4750.0
corebot,0.9991503823279524,0.9903157894736843,0.9947134700782406,4750.0
cryptolocker,0.413136416634279,0.4475789473684211,0.4296685529506872,4750.0
dircrypt,0.313215859030837,0.29936842105263156,0.30613562970936486,4750.0
dyre,0.999788717515318,0.9962105263157894,0.9979964146367183,4750.0
fobber_v1,0.8355722729715207,0.9821052631578947,0.9029323526565374,4750.0
fobber_v2,0.37371024734982333,0.5566315789473684,0.4471881606765328,4750.0
gozi_gpl,0.9609721897639636,0.8656842105263158,0.91084283973862,4750.0
gozi_luther,0.6453784570596798,0.7467368421052631,0.6923677532695686,4750.0
gozi_nasa,0.6819461198230801,0.7141052631578947,0.69765528589058,4750.0
gozi_rfc4343,0.6395950506186726,0.5985263157894737,0.6183795541054921,4750.0
kraken_v1,0.9986130374479889,0.3031578947368421,0.4651162790697675,4750.0
kraken_v2,0.3997384481255449,0.19305263157894736,0.2603634298693924,4750.0
locky,0.4,0.32210526315789473,0.35685131195335273,4750.0
matsnu,0.943640682358022,0.92,0.931670397612195,4750.0
murofet_v1,0.9900947459086994,0.968,0.9789227166276347,4750.0
murofet_v2,0.8764777823073787,0.9052631578947369,0.8906379453189727,4750.0
murofet_v3,1.0,0.9947368421052631,0.9973614775725593,4750.0
necurs,0.2773378007919586,0.3833684210526316,0.32184517497348886,4750.0
nymaim,0.8537936913895993,0.8433684210526315,0.8485490362211396,4750.0
padcrypt,0.9922907488986784,0.9484210526315789,0.9698600645855759,4750.0
pizd,0.5066207627118644,0.8054736842105263,0.6220126808649,4750.0
proslikefan,0.42976969007676996,0.636421052631579,0.5130685675492193,4750.0
pushdo,0.8747330960854093,0.7762105263157895,0.8225320691578359,4750.0
pykspa,0.2084639498432602,0.308,0.24864038069340585,4750.0
pykspa_noise,0.16149818767619814,0.1688421052631579,0.1650885137916838,4750.0
qadars,0.8282786885245902,0.8509473684210527,0.8394600207684321,4750.0
qakbot,0.3767552021654542,0.4688421052631579,0.4177844479879937,4750.0
ramdo,0.9981147320226232,0.7802105263157895,0.8758123596833275,4750.0
ramnit,0.1999423520368947,0.4381052631578947,0.274574482121652,4750.0
ranbyus_v1,0.7829495345418912,0.6728421052631579,0.7237318840579711,4750.0
ranbyus_v2,0.8030660377358491,0.716842105263158,0.7575083426028922,4750.0
rovnix,0.8574317492416582,0.8926315789473684,0.8746776689014956,4750.0
shiotob,0.8083599817268159,0.7450526315789474,0.7754163014899212,4750.0
simda,0.9331122166943062,0.35536842105263156,0.5147126086293642,4750.0
sisron,0.9994047619047619,0.7069473684210527,0.8281134401972874,4750.0
suppobox_1,0.5969111969111969,0.3254736842105263,0.42125340599455036,4750.0
suppobox_2,0.9094433674882304,0.6913684210526316,0.7855519674680062,4750.0
suppobox_3,0.992,0.9658947368421053,0.9787733333333334,4750.0
symmi,0.9958071278825996,1.0,0.9978991596638656,4750.0
tempedreve,0.35282298573437815,0.3696842105263158,0.36105685206127275,4750.0
tinba,0.4956258411843876,0.6202105263157894,0.5509631569104171,4750.0
vawtrak_v1,0.9975845410628019,0.43473684210526314,0.6055718475073314,4750.0
vawtrak_v2,0.6605095541401274,0.2183157894736842,0.3281645569620253,4750.0
vawtrak_v3,0.5653262400250352,0.7606315789473684,0.6485952787002963,4750.0
zeus-newgoz,0.9926762921113204,0.9987368421052631,0.9956973449470039,4750.0
legit,0.42522756827048114,0.7572631578947369,0.544628662275721,4750.0
accuracy,0.6617131062951497,0.6617131062951497,0.6617131062951497,0.6617131062951497
macro avg,0.7124343206833953,0.6617131062951497,0.6658517295622733,242250.0
weighted avg,0.7124343206833953,0.6617131062951497,0.6658517295622735,242250.0
