,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,486,0,0,0,0,0,0,15,0,0,342,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,12,1,0,13,16,0,2
banjori,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,1,0,548,0,0,0,2,246,0,0,1,0,5,1,0,1,3,0,0,0,0,0,0,0,1,0,0,3,0,0,1,3,0,111,1,3,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0
ccleaner,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,6,0,868,0,2,1,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,9,0,0,3,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,937,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
cryptolocker,0,0,29,0,0,0,341,51,0,33,1,3,1,0,0,6,4,57,0,0,114,0,1,1,1,1,0,2,1,8,0,10,8,43,138,35,0,0,0,0,1,0,0,0,9,51,0,0,0,0,0
dircrypt,130,0,132,0,0,0,3,334,0,0,95,0,9,0,1,1,10,0,0,0,0,0,0,0,1,0,0,6,0,0,0,48,0,139,1,3,0,1,1,0,0,0,0,0,0,19,0,8,7,0,1
dyre,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,3,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
