,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,172,0,0,0,0,0,0,0,0,0,633,0,0,0,0,1,13,0,0,0,0,0,0,0,1,0,0,15,0,2,0,0,0,59,0,0,0,1,0,0,0,0,0,0,16,7,0,14,6,0,10
banjori,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,8,0,744,0,0,0,2,35,0,0,7,0,1,0,1,2,1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,97,2,0,0,4,0,0,0,0,0,0,0,37,0,0,0,0,0
ccleaner,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,6,1,865,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,2,11,1,0,1,0,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0
corebot,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
cryptolocker,2,0,52,0,0,0,269,8,0,52,1,3,1,0,0,4,13,56,0,0,118,0,13,0,1,4,1,12,5,0,0,70,5,28,59,17,0,0,2,0,0,0,0,0,30,124,0,0,0,0,0
dircrypt,56,0,438,0,0,0,6,68,0,0,171,0,9,0,0,2,9,0,0,0,0,0,0,0,4,0,0,14,2,1,0,3,0,117,0,0,0,3,1,0,0,0,0,0,0,31,0,1,4,0,10
dyre,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,1,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
