,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,519,0,0,0,0,0,0,15,0,0,291,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,2,0,11,16,0,13
banjori,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,501,0,0,0,4,181,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,216,0,0,0,4,0,0,0,0,0,0,0,21,0,0,0,0,0
ccleaner,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,7,2,884,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2,17,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,935,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
cryptolocker,0,0,14,0,0,0,274,27,0,63,0,1,0,0,1,0,0,15,0,0,55,0,91,0,2,2,0,0,1,0,0,94,0,74,21,28,0,0,0,0,0,0,0,0,1,185,0,0,0,0,1
dircrypt,141,0,85,0,0,0,3,260,0,0,50,0,0,4,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,77,0,262,0,0,0,0,0,0,0,0,0,0,0,43,0,4,6,0,8
dyre,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,1,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fobber_v2,533,0,0,0,0,0,0,19,0,0,287,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,7,19,0,17
gozi_gpl,0,0,0,0,0,0,12,0,0,0,0,607,0,0,0,0,0,6,0,1,0,0,6,14,0,0,0,0,0,0,0,15,0,0,0,1,277,0,0,0,0,0,0,0,0,9,0,0,0,0,2
gozi_luther,0,0,1,0,0,0,0,3,0,0,0,0,168,643,114,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,6
gozi_nasa,0,0,0,0,0,0,0,0,0,0,0,0,1,623,283,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,14
gozi_rfc4343,0,0,0,0,0,0,0,4,0,0,0,0,4,369,536,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,11
kraken_v1,0,0,10,0,0,0,20,9,0,0,6,0,0,1,1,468,319,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,64,0,0,0,0,0,0,0,0,0,0,0,27,0,4,5,0,0
kraken_v2,103,0,19,0,0,0,33,28,0,0,51,0,0,0,1,0,318,31,0,0,0,0,32,0,0,0,85,1,0,0,0,7,2,140,0,0,0,0,0,0,0,0,0,0,1,77,0,6,7,0,8
locky,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,28,123,0,0,21,0,131,1,1,0,98,1,18,0,0,141,1,0,6,56,1,0,0,0,0,0,0,0,9,256,0,0,0,0,0
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,0,233,42,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,2,0,0,0,0,0,0,0,0,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,597,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,3,0,1,0,0,0,28,7,0,12,2,0,0,0,1,0,14,74,0,3,3,0,132,0,0,1,156,0,0,0,0,242,0,6,13,73,1,0,0,0,0,0,0,0,10,167,0,0,0,0,1
nymaim,0,0,0,0,0,0,5,0,0,1,0,7,0,17,14,0,1,4,6,0,0,0,24,547,0,48,17,1,0,1,0,1,0,0,0,1,163,0,0,0,0,2,0,0,0,27,0,0,1,0,62
