,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,527,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,15,2,4,0,0,0,11,0,0,0,0,2,0,0,0,0,0,41,0,0,18,17,0,1
banjori,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,12,0,529,0,0,0,0,253,0,0,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,10,2,0,0,0,0,114,3,4,0,5,0,1,0,0,0,0,2,6,0,0,0,0,0
ccleaner,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,5,1,786,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,34,5,1,0,1,7,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1
corebot,0,0,0,0,0,945,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cryptolocker,2,0,16,0,0,0,159,53,0,30,0,3,0,0,0,0,2,17,0,0,99,0,10,1,1,3,1,5,24,11,0,8,7,53,337,53,0,0,0,0,0,0,0,0,20,35,0,0,0,0,0
dircrypt,184,0,126,0,0,0,0,337,0,0,60,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,171,5,7,0,0,3,0,0,0,0,0,14,4,0,4,8,0,3
dyre,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
fobber_v1,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,66,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
fobber_v2,553,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,29,1,2,0,0,0,32,0,0,0,0,2,0,0,0,0,0,30,0,0,14,13,0,2
gozi_gpl,0,0,0,0,0,0,1,0,0,0,0,911,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1
gozi_luther,0,0,0,0,0,0,0,4,0,0,0,0,786,35,98,0,0,0,3,0,0,0,0,2,0,0,0,12,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,3
gozi_nasa,0,0,0,0,0,0,0,2,0,0,0,0,35,636,231,0,0,0,12,0,0,0,0,1,0,0,0,4,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,10
gozi_rfc4343,0,0,1,0,0,0,0,3,0,0,0,0,34,119,751,0,0,0,10,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,13
kraken_v1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,501,423,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,3,7,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0
kraken_v2,127,0,2,0,0,0,2,9,0,0,65,0,0,0,0,38,407,28,0,0,0,0,63,0,0,0,118,3,2,0,0,1,3,23,21,0,0,0,4,0,0,0,0,0,10,10,0,2,8,0,4
locky,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,247,0,0,44,0,68,3,1,0,107,12,37,12,0,15,3,0,187,115,0,0,10,0,0,0,0,0,30,26,0,0,0,0,0
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,931,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,1,0,0,0,0,0,10,8,0,13,4,0,0,0,0,0,0,55,0,6,15,0,219,2,0,1,153,2,10,4,0,12,1,4,189,197,2,0,5,0,0,0,0,0,17,16,1,0,0,0,3
nymaim,0,0,0,0,0,0,0,0,0,0,0,8,0,5,8,0,0,2,23,0,0,0,2,824,0,15,6,2,2,2,0,0,0,0,0,3,12,0,3,0,7,2,3,0,0,1,4,0,2,0,14
padcrypt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,932,0,0,0,0,0,0,0,0,3,1,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,20,11,0,1,0,0,0,0,0,0
proslikefan,61,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,16,11,0,0,0,0,26,1,0,0,526,0,105,36,0,1,0,0,5,0,0,0,58,0,0,9,0,0,53,8,0,3,2,0,12
pushdo,9,0,0,0,0,0,0,1,0,0,1,0,0,3,3,0,0,2,0,0,0,0,3,5,0,0,0,878,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,23,0,12
pykspa,36,0,0,0,0,0,13,2,0,0,25,0,0,0,0,0,18,5,0,0,0,0,0,3,0,0,71,15,242,146,0,13,10,3,18,0,0,1,74,0,0,12,0,0,202,11,0,4,13,0,13
pykspa_noise,37,0,0,0,0,0,17,7,0,0,28,0,0,0,0,0,12,5,0,0,0,0,5,2,0,1,76,12,264,123,0,7,9,11,17,0,0,0,63,0,1,13,0,0,194,12,0,3,15,0,16
qadars,3,0,4,1,0,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,3,5,3,716,0,2,0,3,0,0,179,0,0,0,0,0,0,7,5,8,0,1,0,0
qakbot,18,0,15,0,0,0,28,71,0,71,10,0,0,0,0,0,2,9,0,0,70,0,16,2,3,0,44,3,40,23,0,287,7,23,72,33,1,0,2,0,0,1,0,0,75,22,0,0,1,0,1
ramdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,947,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,188,0,52,0,0,0,0,319,0,0,103,0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,20,4,5,0,1,0,201,8,5,0,0,1,0,0,0,0,0,16,1,0,6,10,0,2
ranbyus_v1,0,0,6,0,0,0,33,47,0,18,0,0,0,1,0,0,1,18,0,0,0,0,27,7,1,0,0,4,2,0,0,1,5,35,712,26,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
ranbyus_v2,0,0,16,0,0,0,0,71,0,105,0,1,1,0,1,0,0,12,0,0,0,0,30,2,1,0,0,1,0,0,0,0,0,23,50,634,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
