,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,1847,0,0,0,0,0,0,30,0,0,2315,0,0,0,0,1,63,0,0,0,0,0,0,0,3,0,0,46,7,6,0,0,0,177,0,0,0,1,10,0,0,0,0,0,71,10,0,63,64,0,36
banjori,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,21,0,2899,0,0,0,8,809,0,0,44,0,6,7,6,3,8,0,1,0,0,0,0,0,5,0,0,31,2,0,2,21,0,692,6,9,0,69,0,1,0,0,0,0,2,96,0,1,0,0,1
ccleaner,0,0,0,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,28,5,4194,1,13,2,0,21,0,0,0,0,0,0,1,0,0,1,13,0,11,0,1,0,0,0,0,0,47,45,2,0,7,12,0,344,0,0,0,0,0,0,0,1,0,0,0,0,1
corebot,0,0,0,0,1,4693,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,39,0,0,0,0,0,0,0
cryptolocker,4,0,143,0,0,0,1384,153,0,207,10,13,3,0,1,13,27,198,0,0,457,0,118,3,7,13,3,27,59,47,0,189,23,261,706,147,0,1,6,0,2,0,0,0,77,445,0,2,0,0,1
dircrypt,564,0,1055,0,0,0,12,1115,0,0,602,0,19,8,3,4,30,0,0,0,0,0,0,0,7,0,0,55,4,1,0,134,0,907,6,15,0,5,7,0,0,0,0,0,14,104,0,21,31,0,27
dyre,0,0,0,0,0,0,0,0,4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
fobber_v1,0,0,0,0,0,0,6,0,0,4600,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,16,0,0,1,112,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0
fobber_v2,1919,0,0,0,0,0,0,40,0,0,2229,0,0,0,0,0,64,0,0,0,0,0,0,1,2,0,1,67,2,4,0,0,0,186,0,0,0,1,11,0,0,0,0,0,44,11,0,64,66,0,38
gozi_gpl,0,0,0,0,0,0,15,0,0,0,0,4297,0,0,0,0,0,9,0,4,0,0,6,51,0,0,0,0,0,0,0,15,0,0,2,1,334,0,3,0,0,0,0,0,0,10,0,0,0,0,3
gozi_luther,0,0,4,0,0,0,0,8,0,0,0,0,3384,833,401,0,0,0,8,0,0,0,0,2,3,0,0,38,0,0,0,0,0,8,0,0,3,0,1,0,0,0,0,0,0,2,0,8,19,0,28
gozi_nasa,0,0,0,0,0,0,0,6,0,0,0,0,254,3331,964,0,0,0,51,0,0,0,0,4,0,0,0,13,0,0,0,1,0,13,0,0,31,0,0,0,0,0,0,0,0,4,0,1,10,0,67
gozi_rfc4343,0,0,8,0,0,0,1,12,0,0,0,0,276,1003,3274,1,1,0,33,0,0,0,0,4,3,0,0,10,0,0,0,2,0,16,0,0,25,0,0,0,0,0,0,0,0,3,0,3,8,0,67
kraken_v1,0,0,11,0,0,0,25,14,0,0,6,0,1,1,4,2856,1640,0,0,0,0,0,14,4,1,0,3,1,11,3,0,6,0,77,10,0,0,0,3,0,0,0,0,1,2,29,0,5,14,0,8
kraken_v2,368,0,32,0,0,0,52,84,0,0,491,0,0,0,1,601,1826,88,0,0,0,0,106,2,0,0,412,23,26,23,0,16,11,220,36,0,0,0,15,0,0,0,0,0,43,187,0,23,22,0,42
locky,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,7,55,941,0,0,191,0,311,18,4,0,647,41,99,51,0,212,13,0,639,475,1,0,36,0,0,0,0,0,155,517,0,1,0,0,0
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,9,316,107,0,0,0,4218,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,92
murofet_v1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4577,0,0,46,0,0,0,0,0,0,0,0,112,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,7,0,0,4279,0,0,3,0,0,2,2,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,13,0,11,0,0,0,108,27,0,63,16,3,1,0,1,0,43,345,0,35,44,0,612,3,2,3,857,44,33,37,0,337,2,22,651,887,3,0,26,0,1,0,0,0,66,444,2,0,1,0,7
nymaim,0,0,0,0,0,0,6,0,0,1,0,51,5,34,47,0,1,10,93,0,0,0,27,3768,0,105,35,22,2,4,0,2,1,0,4,4,209,0,32,0,65,10,14,0,3,29,17,1,9,0,139
padcrypt,0,0,10,0,0,0,7,6,0,1,0,0,2,4,13,0,0,2,0,0,0,0,2,1,4643,0,0,2,0,0,0,3,0,11,15,17,4,0,0,0,2,0,2,2,0,1,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1138,93,26,0,1,0,0,0,0,0,0
proslikefan,196,0,0,0,0,0,7,1,0,0,172,0,0,0,0,2,82,129,0,0,20,0,57,3,0,2,2631,2,368,323,0,9,0,5,19,0,0,0,193,0,0,37,0,0,257,137,0,21,11,0,66
pushdo,64,0,10,0,0,0,2,165,0,0,40,0,16,26,4,0,5,103,0,0,0,0,19,16,0,0,0,3704,2,0,0,2,0,143,0,0,0,0,3,0,0,0,0,0,5,160,0,33,150,0,78
pykspa,152,0,0,0,0,0,189,19,0,0,144,0,2,1,0,8,107,9,0,0,0,0,6,4,2,4,571,41,831,851,1,97,49,47,53,0,0,1,232,1,0,61,0,0,902,243,0,21,40,0,61
pykspa_noise,146,0,1,0,0,0,152,26,0,0,135,0,0,0,0,4,108,18,0,0,0,0,16,4,0,12,539,37,900,894,0,90,42,83,39,0,0,0,172,5,3,60,1,0,886,213,0,33,47,0,84
qadars,4,0,19,26,10,0,19,7,0,0,1,0,0,0,0,4,6,1,0,0,0,0,6,0,0,5,0,6,16,13,3961,9,10,11,10,0,0,507,0,0,0,1,0,0,22,46,26,0,3,0,1
qakbot,55,0,142,0,0,0,336,204,0,356,84,0,1,0,0,4,48,55,0,3,285,0,43,3,8,0,193,10,137,129,0,1789,20,123,122,63,4,1,11,0,0,2,0,0,342,167,0,0,4,0,6
ramdo,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,1,0,1,4714,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,689,0,738,0,0,0,11,955,0,0,721,0,19,8,9,2,39,0,0,0,0,0,0,0,7,0,3,62,10,8,0,37,0,1080,9,12,0,1,12,1,0,0,0,0,23,155,0,43,40,0,56
ranbyus_v1,0,0,116,0,0,0,422,130,0,155,0,1,0,2,1,6,11,78,0,0,0,0,282,25,5,3,0,27,4,2,0,56,18,191,2727,46,1,0,1,1,2,0,0,0,3,434,0,0,0,0,0
ranbyus_v2,0,0,218,0,0,0,45,239,0,570,0,2,5,1,4,0,1,38,0,0,0,0,139,5,10,2,0,5,0,0,0,165,1,115,250,2928,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0
rovnix,0,0,0,0,5,1,0,0,0,0,0,274,28,155,230,0,0,0,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,4009,0,0,0,0,0,24,0,0,0,0,0,0,0,1
shiotob,57,0,181,6,311,0,25,26,0,52,80,0,1,0,1,0,0,0,0,0,0,0,1,1,0,5,3,12,27,48,782,28,0,42,20,4,0,2914,0,0,1,3,0,1,76,31,0,3,3,0,5
simda,217,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,13,60,0,0,0,0,113,30,0,0,708,41,55,55,0,0,0,2,1,0,0,0,3124,0,0,0,0,0,6,38,1,9,15,0,160
sisron,1,0,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,69,0,63,274,0,5,0,0,0,48,0,4039,0,0,0,0,65,63,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2979,45,3,0,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,21,0,0,20,0,0,0,0,0,0,0,0,0,0,67,4212,6,0,14,0,0,0,0,0,24
suppobox_3,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,89,0,0,0,2,0,4627,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4745,0,0,0,0,0,0,0
tempedreve,496,0,0,0,0,0,6,7,0,0,567,0,0,0,0,3,101,25,0,0,0,0,23,7,0,1,155,16,536,401,0,26,0,43,1,0,0,1,64,2,2,26,0,0,2090,117,0,10,15,0,9
tinba,63,0,36,0,0,0,269,298,0,0,159,0,0,2,3,8,36,382,0,0,113,0,88,7,11,6,14,56,46,77,0,43,0,793,596,0,0,1,3,0,5,0,0,7,168,1445,0,6,6,0,3
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,67,0,0,0,0,6,1,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,4572,0,0,0,0
vawtrak_v2,35,0,0,0,0,0,0,13,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,4,0,3380,938,0,315
vawtrak_v3,13,0,0,0,0,0,0,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,323,4086,0,274
zeus-newgoz,0,0,1,0,3,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4680,0
legit,29,0,1,0,0,0,1,4,0,2,9,4,17,56,58,4,15,2,82,0,0,0,1,129,0,29,287,28,31,37,29,1,2,14,0,0,5,25,152,0,22,180,1,1,2,4,0,55,250,0,3181
