,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
ranbyus_v2,0,0,80,0,0,0,15,13,0,117,0,0,0,0,0,0,0,5,0,0,0,0,5,1,2,1,0,1,0,0,0,0,0,23,133,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rovnix,0,0,0,0,1,0,0,0,0,0,0,74,9,41,63,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,6,0,0,0,0,0,0,0,0
shiotob,2,0,20,1,12,0,0,2,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,16,266,3,0,3,6,0,0,550,0,0,1,1,0,0,11,4,0,0,1,0,1
simda,37,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,14,2,10,16,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,1,2,0,43
sisron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,14,0,913,0,0,0,0,0,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,11,0,0,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,0,0,0,0,0,0,0,0,0,0,22,868,0,0,0,0,0,0,0,0,1
suppobox_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,939,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0
tempedreve,23,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,43,3,231,126,0,0,0,4,0,0,0,0,27,1,1,6,0,0,267,1,0,1,7,0,2
tinba,11,0,2,0,0,0,54,28,0,0,108,0,0,0,1,3,10,120,0,0,23,0,3,1,0,0,3,14,25,41,0,1,0,152,150,0,0,0,3,0,2,0,0,1,31,158,0,1,3,0,1
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0
vawtrak_v2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,66,0,78
vawtrak_v3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,831,0,59
zeus-newgoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0
legit,4,0,0,0,0,0,0,2,0,1,0,0,4,12,13,1,2,0,21,0,0,0,0,35,0,5,65,9,6,7,9,0,1,2,0,0,0,2,50,0,4,34,0,0,0,0,0,13,27,0,621
