,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,231,0,3,0,0,0,0,0,0,0,465,0,0,0,0,3,14,0,1,0,0,0,0,0,1,0,0,59,0,0,0,0,0,21,0,0,0,0,0,13,0,0,0,0,0,18,0,45,21,0,5
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,7,462,1,0,0,0,230,0,0,0,0,4,6,21,5,2,0,1,0,0,0,0,0,14,0,0,11,0,0,6,1,2,97,1,1,0,12,0,6,0,0,0,0,0,10,0,0,0,0,0
ccleaner,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,1,3,865,9,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
corebot,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0
cryptolocker,0,0,52,0,0,0,200,7,0,59,0,16,3,1,3,10,1,91,1,0,117,0,0,15,4,0,0,7,0,2,0,82,45,48,78,16,0,0,0,5,12,0,2,1,0,22,0,0,0,0,0
dircrypt,61,3,103,0,0,0,0,331,0,0,94,0,9,8,24,7,6,0,0,0,0,0,0,0,13,0,0,21,0,0,0,14,1,108,0,9,0,0,1,11,0,0,0,0,0,42,0,18,5,0,11
dyre,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0
fobber_v2,226,0,2,0,0,0,0,1,0,0,428,0,0,0,0,6,14,0,1,0,0,0,0,0,0,0,0,73,0,0,0,0,0,36,0,0,0,1,0,17,0,0,0,0,0,24,0,38,28,0,5
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,10,0,0,0,0,0,1,0,0,0,0,461,106,229,0,0,0,28,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gozi_nasa,0,1,0,0,0,0,0,0,0,0,0,0,164,168,443,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_rfc4343,0,1,0,0,0,0,0,2,0,0,0,0,87,99,569,1,0,0,23,0,0,0,0,0,4,0,0,1,0,0,0,1,1,4,0,0,105,0,0,0,0,0,0,0,0,0,0,0,2,0,0
kraken_v1,0,0,0,0,0,0,21,0,0,0,0,0,3,0,4,682,93,0,0,0,0,0,0,6,3,0,0,4,12,0,0,4,14,2,4,0,0,0,0,11,0,0,0,1,18,2,0,0,7,0,9
kraken_v2,32,0,16,0,0,0,23,6,0,0,93,0,6,0,1,242,120,4,1,0,0,0,19,9,2,0,89,15,4,0,0,11,24,15,16,0,0,0,5,10,0,0,0,0,33,62,1,11,7,0,23
locky,0,0,0,0,0,0,100,0,0,0,0,17,0,0,0,6,15,119,0,9,83,0,32,28,4,0,92,24,12,7,0,48,16,0,56,101,3,0,20,3,0,0,0,0,25,73,6,0,0,0,1
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,7,32,45,0,0,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,0,3,5,0,0,0,28,17,0,16,5,8,1,0,2,3,2,29,0,38,24,0,101,24,6,0,121,13,5,2,0,72,9,5,83,130,9,0,17,0,1,3,1,0,26,65,9,4,0,0,13
nymaim,0,0,0,0,0,0,2,0,0,0,0,19,2,7,18,2,0,1,49,0,2,0,1,636,1,17,3,9,0,0,0,0,3,0,2,1,65,0,3,1,7,6,19,1,3,1,3,5,3,0,8
padcrypt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,4,96,19,0,0,0,0,0,0,0
proslikefan,9,0,0,0,0,0,3,0,0,0,54,3,0,0,0,1,16,29,0,0,3,0,2,7,0,0,385,18,27,61,0,0,1,0,7,0,0,0,107,7,0,30,0,0,66,18,0,10,4,0,32
pushdo,2,0,9,0,0,0,0,0,0,0,0,0,16,29,7,3,6,0,41,0,6,0,0,24,1,0,0,732,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,11,7,0,1
pykspa,11,0,1,0,0,0,55,1,0,0,25,0,0,0,1,12,8,0,0,0,0,0,0,26,2,3,59,18,65,183,0,20,12,3,29,0,0,2,69,16,10,45,0,1,135,36,0,9,5,0,38
pykspa_noise,13,0,4,0,0,0,41,1,0,0,22,0,0,0,1,6,12,0,0,0,0,0,0,23,3,8,60,22,68,203,0,9,15,6,32,0,0,2,51,10,10,50,0,0,140,32,0,11,7,0,38
qadars,0,0,4,5,17,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,0,706,0,2,3,7,0,0,138,0,6,0,0,0,0,0,1,1,0,1,0,0
qakbot,9,1,15,0,0,0,28,53,0,40,10,0,2,5,1,12,11,11,0,5,55,0,0,9,4,0,9,12,11,27,0,392,18,7,22,5,16,1,1,9,2,4,5,0,59,27,0,1,1,0,0
ramdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,1,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,59,2,110,0,0,0,1,222,0,0,139,0,11,14,29,16,6,0,4,0,0,0,0,0,7,0,0,37,0,0,0,0,1,132,1,12,0,0,0,3,0,0,0,0,0,46,0,21,12,0,15
ranbyus_v1,0,0,38,0,0,0,103,3,0,68,0,20,0,2,1,9,0,5,0,0,0,0,0,32,7,2,0,2,0,0,0,11,25,41,504,21,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0
ranbyus_v2,0,4,3,0,0,0,0,83,0,153,0,11,2,2,6,0,0,13,0,6,0,0,8,10,15,0,0,0,0,0,0,3,10,7,1,541,13,0,0,0,0,0,8,1,0,0,0,0,0,0,0
