,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,52,0,0,0,0,0,0,0,0,0,773,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,33,3,0,3
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,519,0,28,0,0,79,0,0,0,0,1,0,11,14,5,0,1,0,0,0,0,0,12,0,0,6,0,0,0,3,0,77,0,0,0,95,0,7,0,0,0,0,0,42,0,0,0,0,0
ccleaner,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,1,4,871,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
corebot,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
cryptolocker,0,0,55,0,23,0,227,0,0,14,0,6,0,0,0,31,9,51,1,0,106,0,0,8,10,8,0,11,4,1,6,23,11,34,117,36,0,28,0,8,6,0,0,1,4,60,0,0,0,0,1
dircrypt,8,1,205,0,9,0,0,148,0,0,207,0,6,0,14,9,7,0,2,0,0,0,0,0,7,0,0,20,0,0,0,40,0,100,0,0,0,19,2,17,0,0,0,0,0,60,0,12,2,0,5
dyre,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,13,7,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,17,5,0,0,0,0,0,0,0
fobber_v2,54,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,32,5,0,6
gozi_gpl,0,0,0,0,0,0,2,0,0,0,0,868,0,0,0,0,0,2,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,2,2,0,0,0,0,3,0,0,1,0,650,39,123,0,0,0,54,0,0,0,0,1,0,0,0,13,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
gozi_nasa,0,0,4,0,0,0,0,1,0,0,0,0,419,73,321,0,0,0,61,0,0,0,0,2,3,0,0,4,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
gozi_rfc4343,0,0,4,0,1,0,0,2,0,0,0,0,288,46,470,2,0,0,55,0,0,0,0,0,13,0,0,6,0,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,3
kraken_v1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,606,185,0,0,0,0,0,0,3,2,0,5,0,2,1,0,0,0,0,1,0,0,0,4,4,0,0,0,0,76,0,0,4,0,0,0
kraken_v2,8,0,5,0,0,0,9,1,0,0,146,0,2,0,0,173,233,8,1,0,0,0,5,1,0,0,49,5,0,0,0,0,3,4,2,0,0,12,9,5,0,0,0,0,126,40,19,3,7,0,24
locky,0,0,0,0,23,0,57,0,0,0,0,5,0,0,0,12,7,98,0,0,77,0,34,13,5,0,149,26,19,10,1,26,6,0,118,84,1,4,11,4,0,0,0,0,31,72,6,0,0,0,1
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,5,4,26,0,0,0,832,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,15
murofet_v1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,879,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
murofet_v2,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,1,1,9,0,15,0,28,4,0,11,6,4,1,0,0,6,5,27,0,16,23,0,94,10,5,1,146,10,13,2,0,54,2,2,108,125,4,9,19,3,1,1,1,0,39,71,8,0,1,0,14
nymaim,0,0,0,0,1,0,4,0,0,0,5,20,5,1,9,1,0,2,41,0,4,0,2,612,5,21,9,19,1,1,0,0,0,0,12,7,32,0,6,2,7,15,14,0,6,6,6,4,1,0,19
padcrypt,0,0,0,0,8,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,683,0,0,0,2,0,0,0,0,0,0,0,0,0,0,123,49,20,12,2,0,0,0,0,0,0
proslikefan,3,0,0,0,0,0,0,0,0,0,52,0,0,0,0,4,13,16,0,0,1,0,12,1,0,0,424,4,74,37,1,0,0,0,3,0,0,1,91,6,0,27,0,0,82,13,0,3,5,0,27
pushdo,4,0,11,0,0,0,0,0,0,0,22,0,0,0,1,3,9,0,14,0,2,0,0,3,0,0,0,749,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,18,0,33,1,0,13
pykspa,3,0,0,0,0,0,53,0,0,0,36,0,0,0,0,19,10,0,0,0,0,0,0,5,0,4,64,12,185,92,0,0,5,2,0,0,0,37,79,10,0,46,0,1,178,20,0,5,20,0,14
pykspa_noise,3,0,1,0,0,0,40,0,0,0,41,0,0,0,0,18,23,0,0,0,0,0,0,6,0,7,65,14,208,95,1,3,3,2,0,0,0,20,57,7,1,54,0,0,165,19,0,5,17,0,25
qadars,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,1,0,1,0,5,765,0,0,0,1,0,0,93,0,0,0,0,0,0,0,5,3,1,0,0,0
qakbot,2,1,26,0,8,3,56,25,0,54,24,1,0,0,2,29,19,6,0,2,58,0,3,4,13,1,27,5,25,15,3,327,16,6,14,3,4,10,1,6,2,2,0,2,72,16,0,3,0,4,0
ramdo,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,6,30,0,0,0,0,0,0,3,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,9,0,161,0,7,0,0,119,0,0,256,0,4,0,16,9,11,0,0,0,0,0,0,0,11,0,0,22,0,0,0,1,0,129,0,0,0,20,6,12,0,0,0,0,0,69,0,16,4,0,18
ranbyus_v1,0,0,55,0,2,0,94,0,0,3,0,0,0,0,2,23,1,0,1,0,0,0,0,19,9,0,0,1,0,0,1,0,8,25,603,0,0,43,0,4,5,0,0,1,0,0,0,0,0,0,0
ranbyus_v2,0,1,25,0,44,1,3,31,0,100,0,2,1,0,2,4,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,1,45,2,602,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0
rovnix,0,1,0,0,0,1,0,0,0,1,0,161,100,11,57,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,80,0,0,0,0,0,0,1,0
shiotob,2,0,22,1,124,5,5,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,3,104,0,0,0,1,0,0,586,0,1,0,1,1,0,21,2,0,1,0,0,0
simda,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,30,0,0,0,0,2,13,0,0,26,7,64,0,0,0,0,0,0,0,0,0,708,1,0,0,0,0,0,5,0,0,0,0,32
sisron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,3,0,884,0,0,0,0,0,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,590,0,0,0,0,0,0,0,0,1,0,0,2,0,4,259,21,9,2,2,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,776,15,3,15,1,0,0,0,0,0
suppobox_3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,860,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,873,0,0,0,0,0,0,0
tempedreve,7,0,0,0,0,0,0,0,0,0,209,0,0,0,0,3,20,0,0,0,0,0,0,5,0,1,0,0,83,78,3,0,0,0,0,0,0,9,0,15,0,21,0,0,442,0,0,3,0,0,1
tinba,0,0,29,0,2,0,56,0,0,0,4,3,0,0,0,13,24,52,1,0,17,0,0,3,1,13,0,15,2,4,4,0,0,3,58,0,0,129,0,18,3,0,0,0,12,424,0,3,0,0,7
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,898,0,0,0,0
