,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,87,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,21,16,0,0
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,531,0,0,0,4,99,0,0,0,0,1,1,6,0,5,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,144,29,0,0,19,0,1,0,0,0,0,0,49,0,0,0,0,0
ccleaner,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,5,3,866,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,888,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
cryptolocker,0,0,20,0,0,0,449,0,0,34,0,3,1,0,0,2,1,30,0,0,82,0,32,4,1,5,0,8,5,0,0,1,3,55,73,5,1,0,1,6,2,0,0,1,1,74,0,0,0,0,0
dircrypt,57,0,144,0,0,0,2,180,0,0,146,0,5,5,2,0,11,0,0,0,0,0,0,0,2,0,0,27,0,0,0,2,0,210,19,0,0,0,0,7,0,0,0,0,0,65,0,10,6,0,0
dyre,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,1,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
fobber_v2,85,0,0,0,0,0,0,0,0,0,717,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,17,21,0,0
gozi_gpl,0,0,0,0,0,0,13,0,0,0,0,647,0,0,0,0,0,4,0,25,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,1,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,1,3,0,0,0,0,2,0,0,0,0,523,132,119,0,0,0,5,0,0,0,0,0,1,0,0,30,0,0,0,0,0,2,0,0,77,0,0,0,0,0,0,0,0,0,0,4,1,0,0
gozi_nasa,0,0,2,0,0,0,0,0,0,0,0,0,144,285,252,0,0,0,6,0,0,0,0,1,0,0,0,15,0,0,0,0,0,20,2,0,167,0,0,0,0,0,0,0,0,1,0,1,4,0,0
gozi_rfc4343,0,0,7,0,0,0,0,2,0,0,0,0,82,210,403,1,0,0,3,0,0,0,0,1,3,0,0,7,0,0,0,1,0,19,1,0,156,0,0,0,0,0,0,0,0,0,0,3,0,0,1
kraken_v1,0,0,2,0,0,0,48,31,0,0,0,0,0,0,1,410,379,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,3,4,0,7,0,0,0
kraken_v2,84,0,1,0,0,0,73,4,0,0,69,0,0,0,0,8,444,50,0,0,0,0,2,0,0,0,15,7,2,10,0,3,2,5,0,0,0,0,3,3,0,0,0,0,11,60,24,9,8,0,3
locky,0,0,0,0,0,0,145,0,0,0,0,1,0,0,0,2,28,160,0,0,71,0,75,6,2,0,75,25,14,5,0,10,2,0,61,82,1,0,18,1,0,0,0,0,19,89,7,0,0,0,1
matsnu,0,0,1,0,0,0,0,0,0,0,0,0,18,26,34,0,0,0,780,0,0,0,0,1,1,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,883,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,3,2,3,0,0,0,73,4,0,12,4,4,1,0,0,1,11,85,0,8,24,0,179,5,1,1,100,15,3,16,0,17,0,11,83,101,2,0,28,0,0,2,0,0,21,65,8,0,0,0,7
nymaim,1,0,0,0,0,0,7,0,0,1,1,19,6,9,7,0,2,6,31,0,8,0,9,551,2,13,7,32,2,1,0,0,0,0,20,7,60,0,9,0,16,14,18,3,3,10,8,4,9,0,4
padcrypt,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,882,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,1,0,0,0,0,0,2,0,0,0,0,0,214,58,40,19,6,0,0,0,0,0,0
proslikefan,41,0,0,0,0,0,6,1,0,0,26,0,0,0,0,0,44,19,0,0,1,0,2,1,0,0,436,7,27,94,0,0,0,0,8,0,0,0,88,4,0,23,0,0,36,11,0,5,7,0,13
pushdo,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,2,0,4,0,0,0,0,0,0,0,0,854,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,3,0,11,10,0,0
pykspa,28,0,0,0,0,0,73,1,0,0,17,0,0,0,0,0,70,0,0,0,0,0,0,2,0,1,22,15,130,240,0,0,2,3,17,0,0,0,86,8,0,36,0,0,103,11,0,15,7,0,13
pykspa_noise,23,0,1,0,0,0,66,3,0,0,23,0,0,0,0,1,71,0,0,0,0,0,0,3,0,6,14,17,112,276,0,1,0,8,12,0,0,0,66,6,2,48,0,0,91,14,0,13,5,0,18
qadars,0,0,4,12,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,3,0,675,0,0,1,5,0,0,165,0,8,1,0,0,0,3,5,6,1,0,0,0
qakbot,5,1,16,0,0,2,94,47,0,50,17,0,0,0,1,5,37,4,0,0,59,0,23,1,3,1,16,10,33,29,0,316,4,28,11,0,1,0,1,6,0,2,0,1,46,27,0,2,1,0,0
ramdo,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,68,0,73,0,0,0,6,52,0,0,179,0,3,3,1,0,7,0,0,0,0,0,0,0,2,0,0,37,0,0,0,0,0,328,25,0,0,0,0,3,0,0,0,0,0,84,0,18,11,0,0
ranbyus_v1,0,0,26,0,0,0,176,0,0,6,0,5,0,2,0,2,0,5,0,0,0,0,0,13,1,2,0,2,0,0,0,0,0,42,609,0,0,0,0,0,4,0,0,3,0,2,0,0,0,0,0
ranbyus_v2,0,0,15,0,0,0,4,16,0,114,0,0,2,1,1,0,0,1,0,0,0,0,34,2,2,0,0,0,0,0,0,0,2,79,2,619,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0
rovnix,0,0,0,0,0,2,0,0,0,2,0,75,6,25,49,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,683,0,0,0,0,0,52,2,0,0,0,0,0,1,0
shiotob,4,0,40,3,105,1,2,2,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,7,8,38,0,0,3,7,0,0,630,0,6,0,1,0,1,13,5,0,0,1,0,0
simda,111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,14,0,0,0,0,0,6,0,0,19,0,7,34,0,0,0,0,0,0,0,0,672,0,0,0,0,0,1,0,0,3,8,0,8
sisron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,0,0,0,0,1,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,2,0,0,0,0,0,7,0,0,0,0,0,444,31,33,7,4,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,4,4,0,0,0,0,0,0,0,0,0,0,11,807,16,2,7,0,0,0,0,0,0
suppobox_3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,847,12,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,898,0,0,0,0,0,0,0
tempedreve,13,0,0,0,0,0,0,0,0,0,197,0,0,0,0,2,34,1,0,0,0,0,0,1,0,0,0,9,126,72,0,0,0,2,0,0,0,0,3,5,0,20,0,0,410,1,0,1,3,0,0
tinba,0,0,0,0,0,0,68,1,0,0,1,1,0,1,0,1,10,85,1,0,3,0,2,5,0,2,3,27,32,0,0,0,0,68,118,0,0,0,0,3,6,0,0,4,6,449,0,1,2,0,0
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0
vawtrak_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,462,0,0
vawtrak_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,525,0,2
zeus-newgoz,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,0
legit,12,0,4,8,0,0,1,0,0,0,10,1,3,13,13,1,9,1,7,0,0,0,0,16,0,5,36,34,2,4,1,0,0,6,1,0,2,12,70,1,1,47,1,0,3,1,13,55,120,0,386
